"","parent","node","branch.length","label","height","height_0.95_HPD","height_median","height_range","indicator","indicator_0.95_HPD","indicator_median","indicator_range","length","length_0.95_HPD","length_median","length_range","posterior","rate","rate_0.95_HPD","rate_median","rate_range","relRates","relRates_0.95_HPD","relRates_median","relRates_range","isTip","x","y","branch","angle","posteriorAsterisk"
"1","19","1","1.09505516323858","seq00001","8.88178419700125e-17","c(14.7, 14.7)","0","c(0, 8.88178419700125e-16)","0.1","c(0, 1)","0","c(0, 1)","0.779981747614275","c(0.316256286245917, 1.29474967937825)","0.759601459172795","c(0.316256286245917, 1.29474967937825)","NA","0.0289287253516764","c(0.00372864134182919, 0.102718676509639)","0.0115690661610546","c(0.00372864134182919, 0.102718676509639)","0.956159840573365","c(0.926933067622276, 1)","0.926933067622276","c(0.926933067622276, 1)","TRUE","14.7","8","14.1524724183807","261.818181818182",NA
"2","18","2","1.98333020511476","seq00002","3.5527136788005e-16","c(14.7, 14.7)","0","c(0, 1.77635683940025e-15)","0","NA","NA","NA","2.49400029522248","c(0.434402948157973, 4.70800098326685)","2.57181929250517","c(0.434402948157973, 4.70800098326685)","NA","0.0195996699017321","c(0.00372864134182919, 0.0917591748562031)","0.0103836681387545","c(0.00372864134182919, 0.0917591748562031)","1","NA","NA","NA","TRUE","14.7","7","13.7083348974426","229.090909090909",NA
"3","20","3","0.78085552147586","seq00003","1.77635683940025e-16","c(14.7, 14.7)","0","c(0, 8.88178419700125e-16)","0.1","c(0, 1)","0","c(0, 1)","0.676201081553537","c(0.316256286245917, 1.07283806875194)","0.658729511721056","c(0.316256286245917, 1.07283806875194)","NA","0.0212139293437931","c(0.00372864134182919, 0.0917591748562031)","0.0115690661610546","c(0.00372864134182919, 0.0917591748562031)","0.537761562047142","c(0.337126057220872, 1.29151265571047)","0.337126057220872","c(0.337126057220872, 1.29151265571047)","TRUE","14.7","9","14.3095722392621","294.545454545455",NA
"4","21","4","0.107467689590173","seq00004","2.66453525910038e-16","c(14.7, 14.7)","0","c(0, 8.88178419700125e-16)","0","NA","NA","NA","0.0849514295076732","c(0.0162921371943962, 0.176445442040448)","0.0746921160252956","c(0.0162921371943962, 0.176445442040448)","NA","0.0657717387531233","c(0.0349599416654498, 0.110815635020043)","0.0575169689005751","c(0.0349599416654498, 0.110815635020043)","1.39804086615477","c(0.898410140423149, 2.36972171570014)","1.22073279054571","c(0.898410140423149, 2.36972171570014)","TRUE","14.7","11","14.6462661552049","360",NA
"5","21","5","0.107467689590173","seq00005","2.66453525910038e-16","c(14.7, 14.7)","0","c(0, 8.88178419700125e-16)","0.3","c(0, 1)","0","c(0, 1)","0.0849514295076732","c(0.0162921371943962, 0.176445442040448)","0.0746921160252956","c(0.0162921371943962, 0.176445442040448)","NA","0.0700061490042847","c(0.0349599416654498, 0.110815635020043)","0.0636026775155712","c(0.0349599416654498, 0.110815635020043)","1.24711448863179","c(1.22741787808983, 1.32590093079962)","1.22741787808983","c(1.22741787808983, 1.32590093079962)","TRUE","14.7","10","14.6462661552049","327.272727272727",NA
"6","17","6","4.97812620154752","seq00006","3.5527136788005e-16","c(14.7, 14.7)","0","c(0, 1.77635683940025e-15)","0","NA","NA","NA","2.82946454384915","c(0.509082967243686, 4.97812620154752)","3.12778313334669","c(0.509082967243686, 4.97812620154752)","NA","0.0195996699017321","c(0.00372864134182919, 0.0917591748562031)","0.0103836681387545","c(0.00372864134182919, 0.0917591748562031)","0.272195698821828","c(0.0270001941674491, 0.767056770971247)","0.069519611655776","c(0.0270001941674491, 0.767056770971247)","TRUE","14.7","6","12.2109368992262","196.363636363636",NA
"7","16","7","0.106955630948725","seq00007","5","c(9.7, 9.7)","5","c(5, 5)","0","NA","NA","NA","0.263927543470067","c(0.0292918435742591, 0.647197869179537)","0.19957341544775","c(0.0292918435742591, 0.647197869179537)","NA","0.0704353835558909","c(0.0041958090648066, 0.267696122045036)","0.0259093928809522","c(0.0041958090648066, 0.267696122045036)","0.527599148232108","c(0.266856703126547, 0.834478641118216)","0.505032227980342","c(0.266856703126547, 0.834478641118216)","TRUE","9.7","5","9.64652218452564","163.636363636364",NA
"8","13","8","0.342481999965555","seq00008","5","c(9.7, 9.7)","5","c(5, 5)","0","NA","NA","NA","0.364451749408871","c(0.0973852443312389, 0.628915334872063)","0.363806148382432","c(0.0973852443312389, 0.628915334872063)","NA","0.043411059668161","c(0.0041958090648066, 0.0917591748562031)","0.0434755551251789","c(0.0041958090648066, 0.0917591748562031)","2.15596716138321","c(1.17588984672123, 2.4009864900487)","2.4009864900487","c(1.17588984672123, 2.4009864900487)","TRUE","9.7","2","9.52875900001722","65.4545454545455",NA
"9","14","9","0.264928496364516","seq00009","5","c(9.7, 9.7)","5","c(5, 5)","0","NA","NA","NA","0.199792146505287","c(0.0408333958473559, 0.430451049060902)","0.173966517950576","c(0.0408333958473559, 0.430451049060902)","NA","0.0195996699017321","c(0.00372864134182919, 0.0917591748562031)","0.0103836681387545","c(0.00372864134182919, 0.0917591748562031)","0.87394186670893","c(0.556622086538909, 2.40111636796137)","0.722710026573627","c(0.556622086538909, 2.40111636796137)","TRUE","9.7","3","9.56753575181774","98.1818181818182",NA
"10","13","10","0.342481999965555","seq00010","5","c(9.7, 9.7)","5","c(5, 5)","0","NA","NA","NA","0.520013925488225","c(0.0973852443312389, 0.974802907042547)","0.472277688624437","c(0.0973852443312389, 0.974802907042547)","NA","0.0657717387531233","c(0.0349599416654498, 0.110815635020043)","0.0575169689005751","c(0.0349599416654498, 0.110815635020043)","1.99958375412607","c(1.63218223027847, 2.85685397643713)","1.63218223027847","c(1.63218223027847, 2.85685397643713)","TRUE","9.7","1","9.52875900001722","32.7272727272727",NA
