# BEAST v1.8.4
# Generated Mon Nov 20 12:52:16 UTC 2023 [seed=1700484736418]
# -working -overwrite -beagle_off temp.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-80612.73780901244	112.02477118978173	-80724.76258020222	0.16592194852229292	0.1	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-80724.76258020222	111.58754613076198
1000	-54640.089264502734	-172.74323238104543	-54467.34603212169	0.2679642222008488	2.1853424693266317	2.033862813669278	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-54467.34603212169	-170.08251717280586
2000	-51058.53356136363	-197.5730350273411	-50860.96052633628	0.15011071908598497	3.2249302283225663	2.2210956691047414	0.2579126514800845	0.2499999999	0.2420873487199155	0.2499999999	1.0	-50860.96052633628	-194.44898380865914
3000	-50103.62301288145	-197.16055613159676	-49906.462456749854	0.12351928653309918	2.835078365214206	2.9380469727608287	0.2579126514800845	0.2499999999	0.2420873487199155	0.2499999999	1.0	-49906.462456749854	-193.8967252281262
4000	-49620.8395388998	-199.61980794164478	-49421.21973095816	0.12036200512129093	2.8616654029217083	2.9380469727608287	0.2579126514800845	0.2499999999	0.2420873487199155	0.2499999999	1.0	-49421.21973095816	-196.34664285295307
5000	-49083.238675806424	-197.39340854369337	-48885.84526726273	0.11338287662178417	2.3878337447987	3.1335384573057024	0.2579126514800845	0.2499999999	0.2420873487199155	0.2499999999	1.0	-48885.84526726273	-194.23230973408278
6000	-48704.49204895053	-197.59422992353115	-48506.897819027	0.10952425330409228	2.548769233595078	3.1335384573057024	0.2579126514800845	0.24603810093804657	0.2420873487199155	0.2539618988619534	1.0	-48506.897819027	-194.36790709675765
7000	-48494.457618428714	-200.86184407647684	-48293.59577435224	0.1063015199901545	2.5094063735703074	3.1335384573057024	0.2579126514800845	0.23776531528528524	0.2420873487199155	0.26223468451471477	1.0	-48293.59577435224	-197.65108561824846
8000	-48415.778957553455	-197.6761692897931	-48218.10278826366	0.10470372269244932	2.8255516952424005	3.1335384573057024	0.2579126514800845	0.23776531528528524	0.2420873487199155	0.26223468451471477	1.0	-48218.10278826366	-194.34675341630012
9000	-48349.94424934892	-200.68306359428126	-48149.261185754636	0.10681307124921065	2.4958554585696713	3.1335384573057024	0.2579126514800845	0.23776531528528524	0.2420873487199155	0.26223468451471477	1.0	-48149.261185754636	-197.4777198170678
10000	-48253.915152264795	-201.82858267895855	-48052.08656958584	0.10741082488183136	2.9530673810584536	3.957245525832329	0.2579126514800845	0.23776531528528524	0.24832258574056915	0.2559994474940611	1.0	-48052.08656958584	-198.18297629882804
11000	-48137.5617953057	-202.22372238072634	-47935.33807292498	0.10684208148661477	3.024509305670245	3.971374857731073	0.26483057738775545	0.23776531528528524	0.24832258574056915	0.2490815215863902	1.0	-47935.33807292498	-198.54978670955572
12000	-47968.74205998175	-202.00464387587778	-47766.73741610587	0.09781940687097597	2.6698950580097356	3.971374857731073	0.26483057738775545	0.23776531528528524	0.24832258574056915	0.2490815215863902	1.0	-47766.73741610587	-198.45541790250692
13000	-47900.01912804026	-201.17828021115707	-47698.8408478291	0.09535164040833052	3.16819582341437	3.971374857731073	0.2671276307021738	0.23776531528528524	0.24832258574056915	0.2467844682719718	1.0	-47698.8408478291	-197.45793112032146
