CHROM START END A_1 A_2 B_1 C_1
1 144451745 148954460 2 2 3 2
1 149004461 149459645 1 1 1 1
1 149509646 249240621 2 2 3 2
4 10001 3900000 1 1 1 1
4 4250001 8799203 1 1 1 1
4 10150001 49000000 1 1 1 2
4 49000001 52950000 2 2 1 2
4 52950001 110400000 1 1 1 2
4 110400001 189650000 2 2 1 2
5 10001 3550000 1 1 1 1
5 3550001 46405641 1 1 1 2
12 8700001 53850000 2 2 1 2
13 19020001 19400000 2 2 1 2
13 114300001 115109878 3 3 2 3
15 20000001 22400000 2 1 2 2
18 14500001 14750000 2 3 2 3
18 14750001 18650000 3 2 2 2
18 18650001 20750000 3 4 3 3
18 20750001 30050000 3 3 3 3
18 34950001 40900000 1 1 2 1
18 53100001 76950000 3 3 2 3
18 76950001 78017248 3 3 3 3
